AuthorID,Author,Date,Content,Attachments,Reactions
"501603090353356804","anqiqi","2021-04-14T23:53:57.0390000-04:00","northwestern university '25 for journalism @ medill (and political science!) 💜  thank you all so much for your support. you are truly badass and beautiful.","","🥳 (47),alphan (37),⭕ (27),🇷 (26),alphat (23),alphah (23),alphaw (20),alphae (23),alphas (21),🇹 (23),🇪 (25),alphar (23),🇳 (22),duckheart (16),prismic_groove (18),naeleft (17),naeright (15),peepocelebrate (17),😫 (1)"
"712388370109693983","thatboisimon","2021-04-15T02:06:49.3280000-04:00","Cal '25 for Mechanical Eng!!!!","","🥳 (40),alphac (24),alphaa (25),alphal (22),alphae (18),alphan (20),alphag (21),yuh (14),pinkhearts (14),ghosthugl (14),meowlu (15),🎉 (15),snoocool (15),👍 (13),peepocelebrate (14),stonks (15),dab (13),prismic_groove (14),witchfroggie (11)"
"213093674656071681","werf.","2021-04-15T05:23:40.9290000-04:00","UWaterloo '26 for Software Engineering Co-op!!! :peepocelebrate:","","🥳 (38),prismic_groove (22),peepocelebrate (18),stonks (17),meowlu (14),dab (15),alphau (16),alphaw (19),alphaa (20),alphat (18),alphae (19),alphar (16),alphal (19),alphao (17),⭕ (17),snoocool (13),pikaoh (13),upvoteultramegasupreme (12),debbieryan (15),richardmoment (13)"
"722208055487365172","blushyboo","2021-04-15T08:16:02.5800000-04:00","UCLA '25 for pre-med!!!","","peepocelebrate (36),🥳 (29),alphau (30),🆑 (24),alphaa (24),🎊 (16),stonks (17),snoocool (14),dab (12),prismic_groove (15),naeright (13),naeleft (12),pikaoh (12),👍 (15),😊 (12),witchfroggie (13),prayingemoji (14),prayingreversed (13),peepoyes (12),alphaj (4)"
"712034883735650336","izmoeedz8876","2021-04-15T13:53:20.7210000-04:00","USF '25 for Mathematics or CS!!!","","🥳 (39),alphau (34),alphas (30),alphaf (28),pikaoh (17),snoocool (18),prismic_groove (16),dab (19),debbieryan (16),upvoteultramegasupreme (16),naeleft (15),naeright (15),🎊 (19),carlheart (16),innocenteyes (16),prayingemoji (15),prayingreversed (16),peepocelebrate (16),yass (9)"
"276530351344713728","areyouayub","2021-04-16T17:43:35.0110000-04:00","ucla '25 for applied mafs :peepocelebrate:, fight, fight, fight!! :dab:","","🥳 (43),alphau (34),🆑 (34),🅰️ (32),prismic_groove (21),alphap (16),alphao (14),alphag (14),😤 (11),witchfroggie (11),uwu (11),dab (12),naeright (12),dogekek (10),pleadinghearts (10),🇫 (12),🇮 (12),🇬 (12),🇭 (12),🇹 (12)"
"667713846609182720","stoiven4870","2021-04-16T22:20:38.2630000-04:00","UNIVERSITY OF  〽️ ICHIGAN '25!!!  :alphag::alphao:  :alphab::alphal::alphau::alphae:!!!","","peepocelebrate (35),alphau (36),alpham (35),alphai (36),alphac (36),alphah (35),🥳 (29),〽️ (23),alphag (21),alphao (19),alphab (22),alphal (22),🇺 (22),alphae (21),pboy (14),dab (14),upvoteultramegasupreme (15),typing (14),prismic_groove (11)"
"357313591671652355","sillygoos.e","2021-04-17T15:11:10.1730000-04:00","UCSD '25 for Cognitive Science w/ specialization in Machine Learning!!","","pleadinghearts (33),🥳 (35),🎉 (29),prismic_groove (20),alphau (29),alphac (25),alphas (27),alphad (26),Dancing_Birds (19),carlvibe (16),naenaegif (17),vibecat (16),alphap (18),⭕ (17),alphag (18),dab (17),peepocelebrate (16),naeright (14)"
"267329597178118144","big0","2021-04-17T18:10:22.6390000-04:00","Indiana University '25 :alphah: :alphao: :alphao: :alphas: :alphai: :alphae: :alphar:","","🥳 (47),illuminatiparrot (27),⭕ (31),alphao (29),alphas (26),alphai (27),alphae (27),alphar (26),naenaegif (20),catpop (20),dab (18),prismic_groove (18),upvoteultramegasupreme (19),peepocelebrate (19),naeright (18),stonks (18),witchfroggie (18),snoocool (18),alphah (11)"
"220656448089227264","cvpr","2021-04-17T22:29:14.6370000-04:00","UCLA '25 for physics + CSE with regents scholarship!!","","🥳 (46),peepocelebrate (22),alphau (24),🆑 (23),alphaa (23),dab (16),prismic_groove (18),snoocool (15),Dancing_Birds (16),4784_crumbdance (16),zrmmdance (17),BonesDancer (15),dograve (16),vibecat (17),carlpartysliderev (16),duckheart (14),meowhearts (15),upvoteultramegasupreme (16),richardmoment (6)"
"205785829799362571","alpha.16","2021-04-17T22:38:03.3280000-04:00","University of Washington Seattle ‘25 with a full ride scholarship in the honors program to study neuroscience! 💜💛💜💛","","peepolove (44),🥳 (47),alphau (37),alphad (37),🇺 (36),alphab (37),peepocelebrate (26),snoocool (22),carlvibe (20),4784_crumbdance (21),Dancing_Birds (24),duckheart (21),meowhearts (22),heartato (21),upvoteultramegasupreme (21),dab (19),prismic_groove (21),carlheart (20),looaw (22),bigbrain (18)"
"483877467170406401","sharkie1097","2021-04-18T02:45:29.5620000-04:00","University of Washington Seattle ‘25 Computer Engineering 💜💛💜💛","","blobhug (46),kermlove (37),heartato (32),demonic_cat (27),meowhearts (26),🥳 (30),heartlove (27),carlheart (25),innocenteyes (25),looaw (25),alphad (27),alphaa (26),alphaw (27),alphag (28),alphas (26),upvoteultramegasupreme (21),dab (20),carlblush (21),alphau (29),🇼 (29)"
"674596262582026251","tulga_rdn","2021-04-19T01:05:57.0960000-04:00","Korea Institute of Advanced Science and Technology '25 CS+Math","","peepocelebrate (36),🥳 (29),😎 (17),carlheart (18),upvoteultramegasupreme (18),alphak (23),alphaa (24),alphai (25),alphas (22),alphat (23),dab (13),typing (13),naeleft (14),naeright (14),upvoteultrasupreme (12),prismic_groove (14),stonks (14),howdy (13)"
"748893278467915797","rivvvvvvv","2021-04-19T12:09:46.8150000-04:00","moho '25 for psychology and CS","","peepocelebrate (42),blobheart (30),heartlove (27),🥳 (31),peepolove (24),alpham (24),kirbyheart (20),alphah (27),alphac (23),naeleft (17),dab (19),snoocool (16),prismic_groove (17),Dancing_Birds (17),ACOSP_catdance (18),4784_crumbdance (17),carlvibe (15),demonic_cat (11),teehee (11)"
"725794016272318476","ahaha16","2021-04-19T18:16:31.7940000-04:00","ucla ‘25 for aerospace engineering!","","alphau (42),alphac (32),alphal (32),alphaa (33),nice (22),yuh (19),yass (18),stonks (18),snoocool (22),wearytoast (16),teehee (16),richardmoment (16),roohappy (15),prismic_groove (15),dab (14),duckheart (15),carlheart (15),blobheart (15),🥳 (23),✈️ (16)"
"322448259933143040","moocowgrass","2021-04-19T18:24:45.8100000-04:00","USC ‘25 :stonks:","","peepocelebrate (38),alphau (34),alphas (32),alphac (29),🥳 (22),dab (18),snoocool (15),carlheart (14),naeright (13),naeleft (13),upvoteultramegasupreme (13),howdy (13),kirbyheart (12),prismic_groove (15),roohappy (15),👍 (12),nice (12),duckheart (14),wearytoast (14),🚣‍♂️ (12)"
"530566106361102336","vineawsome","2021-04-19T20:48:53.9930000-04:00","Wesleyan University '25 for molecular bio!","","🥳 (47),Pog (23),naeleft (23),naeright (19),dab (18),roohappy (16),🎉 (18),alphaw (21),🇪 (21),alphas (21),alphal (21),alphae (18),🇾 (20),alphaa (20),alphan (19),🥚 (14),🧬 (15),carlheart (13),howdy (11)"
"716382048582893569","anonymousnemo","2021-04-19T22:41:59.1970000-04:00","UCLA '25 for Computer Science 😎😎","","peepocelebrate (42),alphau (34),alphac (32),alphal (31),alphaa (32),🥳 (30),bigbrain (22),prismic_groove (21),howdy (20),typing (18),kermlove (19),dab (14),🇨 (16),🇸 (17),upvoteultramegasupreme (15),nice (15),stonks (15),naeleft (13),naeright (15),💻 (13)"
"439929934757232641","_beter_.","2021-04-21T18:38:17.4750000-04:00","Umich Ross '25 :peepocelebrate:","","peepocelebrate (40),🥳 (28),alphau (27),alpham (25),alphai (24),alphac (24),alphah (26),snoocool (16),dab (16),typing (14),hiro (14),doggohand (13),howdy (15),naeleft (15),naeright (15),carlheart (14),stonks (16),prayingemoji (13),prayingreversed (14),prismic_groove (14)"
"723950091261575269","samiam7139","2021-04-21T19:25:48.7220000-04:00","UIUC for CS at Grainger college!","","peepocelebrate (44),alphau (41),alphai (38),🇺 (37),alphac (38),🥳 (27),prismic_groove (19),dab (17),snoocool (18),roohappy (17),typing (17),doggohand (16),naeleft (16),naeright (18),stonks (15),💻 (19),nice (17),howdy (16),🎉 (19),🥚 (18)"
"509723886858797081","rash4952","2021-04-22T02:24:39.7960000-04:00","Purdue for Computer Science! :prismic_groove:","","🥳 (39),peepocelebrate (23),alphap (27),alphau (23),alphar (23),alphad (22),🇺 (22),alphae (23),snoocool (17),upvoteultramegasupreme (15),typing (14),dab (17),stonks (15),duckheart (15),carlheart (13),nice (15),yuh (13),prismic_groove (16),naenaegif (17),💻 (10)"
"268338640562683904","alpaca1901","2021-04-22T03:00:46.1060000-04:00","Ohio State for Computer Science and Engineering in the Honors college with the National Buckeye and Maximus Scholarships!","","🥳 (45),dab (24),peepocelebrate (24),upvoteultramegasupreme (23),stonks (22),snoocool (22),prayingemoji (21),prayingreversed (19),prismic_groove (22),carlheart (17),👍 (16),peepoyes (18),duckheart (19),nice (18),yuh (19),innocenteyes (17),naeleft (18),naeright (18),naenaegif (21),debbyryan (12)"
"607445528979963904","malt0320","2021-04-22T12:10:20.5970000-04:00","lewis and clark for polisci","","peepocelebrate (31),prismic_groove (23),🥳 (27),naeleft (19),naeright (19),snoocool (18),stonks (16),alphal (23),alphac (22),🎉 (18),alphap (19),alphao (18),alphag (19),carlheart (12),prayingemoji (14),prayingreversed (12),nice (15),carlblush (12)"
