name,major
user798,N/A
user799,Biology
user800,Musical Theater
user801,Textile Engineering
user802,Political Science
user802,Finance
user803,Computer Science
user803,Digital Media
user804,Computer Science
user805,Linguistics
user805,Anthropology
user806,Psychology
user806,Pre-Med
user807,Chemical Engineering
user808,Computer Engineering
user809,Mathematics
user809,Philosophy
user810,Computer Science
user810,History
user811,Engineering
user812,Psychology
user813,Electrical Engineering
user813,Computer Science
user814,Film
user815,Biology
user815,Anthropology
user815,Pre-Med
user816,Bioengineering
user817,N/A
user818,N/A
user819,N/A
user820,N/A
user821,Computer Science
user822,Computer Science
user823,Computer Science
user824,Business Administration
user825,Chemical Engineering
user826,Computer Science
user827,Biological Sciences
user827,Pre-Med
user828,Applied Economics
user828,Management
user828,Finance
user828,Entrepreneurship
user828,Pre-Law
user829,Computer Science
user829,Artificial Intelligence
user830,Computer Science
user831,Political Science
user831,Economics
user831,Pre-Law
user831,Foreign Service
user832,Economics
user832,Mathematics
user833,Computer Science
user833,Linguistics
user834,Applied Mathematics
user834,Statistics
user835,Nursing
user835,Public Health
user836,Applied Mathematics
user837,Computer Science
user837,Physics
user838,Cybersecurity
user839,Computer Science
user840,Mathematics
user840,Chemistry
user841,Public Policy
user841,Business
user842,Applied Mathematics
user843,Computer Science
user844,Business Administration
user845,Computer Science
user846,Engineering
user846,Bioengineering
user846,Biochemistry
user847,Computer Science
user848,Bioengineering
user848,NROTC
user849,Anthropology
user849,Health
user849,Medicine
user850,Psychology
user850,Neuroscience
user851,Electrical Engineering
user851,Computer Science
user852,Earth System Sciences
user853,Cognitive Science
user854,Biology
user854,Linguistics
user854,Geology
user855,Engineering
user855,Computer Science
user856,Computer Science
user857,Bioengineering
user857,Computer Science
user858,Political Economy
user859,Information Science
user859,Law
user859,Justice
user859,Social Change
user860,Public and International Affairs
user861,Statistics
user862,Public Health
user862,Pre-Med
user863,Psychological Sciences
user863,Marine Sciences
user863,Italian Studies
user863,Pre-Med
user864,Political Science
user864,Pre-Law
user865,Artificial Intelligence
user866,Urban Technology
user867,Business Honors
user868,Environmental Policy
user869,Behavioral Economics
user869,Psychology
user870,Electrical Engineering
user871,Government
user871,History
user871,Pre-Law
user872,Biostatistics
user873,Electrical and Computer Engineering
user874,Political Science
user874,Environmental Studies
user875,Business
user876,Electrical Engineering
user877,Computer Science
user878,Computer Science
user878,Linguistics
user879,Molecular Environmental Biology
user880,Engineering
user880,Mechanical Engineering
user881,Physics
user882,N/A
user883,Biometry and Statistics
user884,N/A
user885,Pure Math
user885,Computer Engineering
user886,Biochemistry
user886,Pre-Med
user887,Chemistry
user888,First Year Engineering
user889,Computer Science
user890,Aerospace Engineering
user891,Physics
user892,Molecular Engineering
user893,Wildlife Biology
user894,Computer Science
user895,Bachelor of Business Administration
user896,Aerospace Engineering
user897,Public Health
user897,Political Science
user898,Political Science
user899,Psychology
user899,Brain Sciences
user900,Economics
user900,International Relations
user901,Chemistry
user901,Biology
user902,Mechanical Engineering
user903,Population Health
user904,Computer Science
user905,History
user905,Political Science
user906,Marine Science
user907,Computer Science
user908,Mechanical Engineering
user909,Political Science
